Country Code,Access to electricity (% of population),Battle-related deaths (number of people),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),GDP per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total",Proportion of seats held by women in national parliaments (%),Income Group,Region
ABW,100,..,0.0021,31430.9353682253,..,76.353,..,..,107359,..,High income,Latin America & Caribbean
AFE,50.6675157944854,..,40.6725,1431.72178996886,..,65.1462279163724,41.9690853793299,1021883,750491370,30.5180591025173,,Africa Eastern and Southern
AFG,85.3,237,0.0931,378.06630312259,..,66.035,49.9,72559,41454761,..,Low income,Middle East & North Africa
AFW,57.0692665803595,9004,33.2706,1778.86434703356,..,58.8557398136649,57.3536816920022,959600,509398589,20.7677165354331,,Africa Western and Central
AGO,51.1,..,1.7977,2809.15727975557,72.207,64.617,33,44948,36749906,33.6363636363636,Lower middle income,Sub-Saharan Africa
ALB,100,..,0.8186,6198.17195301204,63.882,79.602,8.3,241,2414095,35.7142857142857,Upper middle income,Europe & Central Asia
AND,100,..,..,40227.2524257376,..,84.041,2.5,1,80856,50,High income,Europe & Central Asia
ARB,91.6454299444509,..,232.7081,6311.42160022415,..,72.4446783578531,27.4409368971315,306091,482105978,17.7282377919321,,Arab World
ARE,100,..,19.111,41926.5823645673,78.454,82.909,4,396,10483751,50,High income,Middle East & North Africa
ARG,100,..,11.2778,12993.0928872416,62.286,77.395,8.2,4094,45538401,43.1906614785992,Upper middle income,Latin America & Caribbean
ARM,100,20,0.4574,5197.23509013575,65.294,77.4658536585366,8.9,307,2964300,35.5140186915888,Upper middle income,Europe & Central Asia
ASM,..,..,0.0001,..,..,72.852,..,..,47521,..,High income,East Asia & Pacific
ATG,100,..,0.0014,17789.4058123944,..,77.598,7.2,8,93316,5.55555555555556,High income,Latin America & Caribbean
AUS,100,..,13.6317,61869.082498576,67.171,83.0512195121951,3.1,952,26659922,38.4105960264901,High income,East Asia & Pacific
AUT,100,..,5.0406,46497.9114640341,61.607,81.7926829268293,2.8,223,9131761,40.9836065573771,High income,Europe & Central Asia
AZE,100,442,1.7377,5668.61021317029,..,74.429,13.2,1674,10153958,18.6440677966102,Upper middle income,Europe & Central Asia
BDI,11.6,86,0.1351,264.843307950214,..,63.651,31.4,14342,13689450,38.2113821138211,Low income,Sub-Saharan Africa
BEL,100,..,9.8964,44866.1935177304,54.997,82.4,3.2,339,11779946,42.6666666666667,High income,Europe & Central Asia
BEN,57,28,1.2682,1263.62158336368,..,60.774,46.5,21922,14111034,26.605504587156,Lower middle income,Sub-Saharan Africa
BFA,21.7,4608,1.2641,745.405334618409,47.453,61.092,44.9,32279,23025776,16.9014084507042,Low income,Sub-Saharan Africa
BGD,99.5,..,13.4182,1885.37733613545,60.885,74.672,24.4,84861,171466990,20.8571428571429,Lower middle income,South Asia
BGR,100,..,4.1372,9787.26510772747,55.654,75.7560975609756,4.8,305,6446596,24.1666666666667,High income,Europe & Central Asia
